Keyword,Location,Business Name,Google Maps URL
coffee shop,Jakarta,KOZI Coffee Kuningan,https://www.google.com/maps/place/KOZI+Coffee+Kuningan/data=!4m7!3m6!1s0x2e69f32ab0f23285:0x5f61f600281486d0!8m2!3d-6.2224109!4d106.8239479!16s%2Fg%2F11hdvs_7wg!19sChIJhTLysCrzaS4R0IYUKAD2YV8?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Daily Bread,https://www.google.com/maps/place/Daily+Bread/data=!4m7!3m6!1s0x2e69f3f665ae793d:0xbb2d9a2a93a09463!8m2!3d-6.2180519!4d106.834514!16s%2Fg%2F1pt__qm8j!19sChIJPXmuZfbzaS4RY5SgkyqaLbs?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Diskusi Kopi & Ruang Berbagi Kawi,https://www.google.com/maps/place/Diskusi+Kopi+%26+Ruang+Berbagi+Kawi/data=!4m7!3m6!1s0x2e69f5d44807407b:0x5c9ce442a043f46b!8m2!3d-6.2103916!4d106.8343277!16s%2Fg%2F11jcm9dpz0!19sChIJe0AHSNT1aS4Ra_RDoELknFw?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,NGOPI (Ngobrol & Kopi),https://www.google.com/maps/place/NGOPI+%28Ngobrol+%26+Kopi%29/data=!4m7!3m6!1s0x2e69f3bfabb6105b:0xe992a86e07ee9b0a!8m2!3d-6.2184868!4d106.8335707!16s%2Fg%2F11f5l_1g5n!19sChIJWxC2q7_zaS4RCpvuB26okuk?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,TORAJA COFFEE HOUSE,https://www.google.com/maps/place/TORAJA+COFFEE+HOUSE/data=!4m7!3m6!1s0x2e69f3f218702c6f:0xd04840d72f20af89!8m2!3d-6.2258471!4d106.8360671!16s%2Fg%2F11fz9c5jkq!19sChIJbyxwGPLzaS4Ria8gL9dASNA?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Djournal Coffee Kuningan City,https://www.google.com/maps/place/Djournal+Coffee+Kuningan+City/data=!4m7!3m6!1s0x2e69f323fb60f6d7:0x100bd790aedc0823!8m2!3d-6.2248005!4d106.829278!16s%2Fg%2F11fn42l2gp!19sChIJ1_Zg-yPzaS4RIwjcrpDXCxA?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Muyen Coffee & Roastery Tebet,https://www.google.com/maps/place/Muyen+Coffee+%26+Roastery+Tebet/data=!4m7!3m6!1s0x2e69f3dc7107cfb3:0x3a8626931545b4c2!8m2!3d-6.2280665!4d106.8563359!16s%2Fg%2F11fb2j311p!19sChIJs88HcdzzaS4RwrRFFZMmhjo?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Second Floor Coffee Menteng,https://www.google.com/maps/place/Second+Floor+Coffee+Menteng/data=!4m7!3m6!1s0x2e69f5f65feb48cf:0x97db5f43f80f3aa8!8m2!3d-6.1998445!4d106.8247006!16s%2Fg%2F11vdh31v33!19sChIJz0jrX_b1aS4RqDoP-ENf25c?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Yeu Saigon Cafe - Gran Rubina,https://www.google.com/maps/place/Yeu+Saigon+Cafe+-+Gran+Rubina/data=!4m7!3m6!1s0x2e69f3f87421ba7b:0x25dc6dd90c921c23!8m2!3d-6.219765!4d106.8333202!16s%2Fg%2F11bwdy8m4t!19sChIJe7ohdPjzaS4RIxySDNlt3CU?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,MAD FOR COFFEE SETIABUDI,https://www.google.com/maps/place/MAD+FOR+COFFEE+SETIABUDI/data=!4m7!3m6!1s0x2e69f5f454f7369b:0x10f47e4b19571141!8m2!3d-6.2159499!4d106.8257621!16s%2Fg%2F11v0js6r89!19sChIJmzb3VPT1aS4RQRFXGUt-9BA?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Podjok Manis x Little Contrast Epiwalk,https://www.google.com/maps/place/Podjok+Manis+x+Little+Contrast+Epiwalk/data=!4m7!3m6!1s0x2e69f581317dfd33:0x301765bf558a465c!8m2!3d-6.2179362!4d106.8348054!16s%2Fg%2F11krr8hwdv!19sChIJM_19MYH1aS4RXEaKVb9lFzA?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Homepage Coffee,https://www.google.com/maps/place/Homepage+Coffee/data=!4m7!3m6!1s0x2e69f3f94ab24721:0x9f88d67395d054d5!8m2!3d-6.22118!4d106.823754!16s%2Fg%2F11ddx5d1kt!19sChIJIUeySvnzaS4R1VTQlXPWiJ8?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Sahasra Coffee,https://www.google.com/maps/place/Sahasra+Coffee/data=!4m7!3m6!1s0x2e69f590a1d61787:0x2b573d7328044da1!8m2!3d-6.1922792!4d106.8412248!16s%2Fg%2F11y3k7m22h!19sChIJhxfWoZD1aS4RoU0EKHM9Vys?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Kopi inn,https://www.google.com/maps/place/Kopi+inn/data=!4m7!3m6!1s0x2e69f55f0c9eec03:0x7e4110a75cb1495a!8m2!3d-6.2134619!4d106.8428948!16s%2Fg%2F11ngyysw9v!19sChIJA-yeDF_1aS4RWkmxXKcQQX4?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Arah Coffee Setiabudi,https://www.google.com/maps/place/Arah+Coffee+Setiabudi/data=!4m7!3m6!1s0x2e69f50fb6c90e31:0xf5d855887e4dc0f0!8m2!3d-6.2075402!4d106.8249984!16s%2Fg%2F11fnxt5wl3!19sChIJMQ7Jtg_1aS4R8MBNfohV2PU?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,"1/15 Coffee, Menteng","https://www.google.com/maps/place/1%2F15+Coffee,+Menteng/data=!4m7!3m6!1s0x2e69f418b10da37f:0x6e20a31a303b320e!8m2!3d-6.1978594!4d106.8242186!16s%2Fg%2F11d_wx9jpd!19sChIJf6MNsRj0aS4RDjI7MBqjIG4?authuser=0&hl=id&rclk=1"
coffee shop,Jakarta,Jak Coffee Tea - Supplier Roastery,https://www.google.com/maps/place/Jak+Coffee+Tea+-+Supplier+Roastery/data=!4m7!3m6!1s0x2e69f73948e9f793:0x6cd021dd8207d58c!8m2!3d-6.2084604!4d106.8077538!16s%2Fg%2F11jwzz4f4s!19sChIJk_fpSDn3aS4RjNUHgt0h0Gw?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Expat. Roasters - Mori Tower Jakarta,https://www.google.com/maps/place/Expat.+Roasters+-+Mori+Tower+Jakarta/data=!4m7!3m6!1s0x2e69f798cbccd947:0xc61a2db0661daf4!8m2!3d-6.2165046!4d106.8153246!16s%2Fg%2F11l5l7fgs_!19sChIJR9nMy5j3aS4R9NphBtuiYQw?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,lokale coffee - Dukuh Atas,https://www.google.com/maps/place/lokale+coffee+-+Dukuh+Atas/data=!4m7!3m6!1s0x2e69f5f5aad3cc3f:0x38006ec26a0f8664!8m2!3d-6.2048818!4d106.8260366!16s%2Fg%2F11wmt0q_z6!19sChIJP8zTqvX1aS4RZIYPasJuADg?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Anomali Coffee Menteng,https://www.google.com/maps/place/Anomali+Coffee+Menteng/data=!4m7!3m6!1s0x2e69f414485a7db5:0x2658d125ad17ea61!8m2!3d-6.1993955!4d106.8369959!16s%2Fg%2F11b7c8mkb6!19sChIJtX1aSBT0aS4RYeoXrSXRWCY?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Toko Kopi Aroma Nusantara (Mall Ambasador),https://www.google.com/maps/place/Toko+Kopi+Aroma+Nusantara+%28Mall+Ambasador%29/data=!4m7!3m6!1s0x2e69f3fa4cb54431:0x502a8c9f01c9eb6!8m2!3d-6.2239618!4d106.8270713!16s%2Fg%2F11cjkpxkv4!19sChIJMUS1TPrzaS4Rtp4c8MmoAgU?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Djournal Coffee at Cafe Kissa,https://www.google.com/maps/place/Djournal+Coffee+at+Cafe+Kissa/data=!4m7!3m6!1s0x2e69f593529460ad:0x9b5594ece2daa8fd!8m2!3d-6.1964667!4d106.82213!16s%2Fg%2F11vs8zrbzk!19sChIJrWCUUpP1aS4R_aja4uyUVZs?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Calathea Coffee,https://www.google.com/maps/place/Calathea+Coffee/data=!4m7!3m6!1s0x2e69f3298d167385:0xa3a6c6a3957b1cf!8m2!3d-6.2207403!4d106.820819!16s%2Fg%2F11y4lt4fg6!19sChIJhXMWjSnzaS4Rz7FXOWpsOgo?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,The People's Cafe Setiabudi One,https://www.google.com/maps/place/The+People%27s+Cafe+Setiabudi+One/data=!4m7!3m6!1s0x2e69f40879fd66c1:0xe6dfcfed44244aa7!8m2!3d-6.2146504!4d106.8303234!16s%2Fg%2F11cm02jp67!19sChIJwWb9eQj0aS4Rp0okRO3P3-Y?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Disenja coffee,https://www.google.com/maps/place/Disenja+coffee/data=!4m7!3m6!1s0x2e69f5002a401309:0x760fd7b79d66ad27!8m2!3d-6.2022592!4d106.8231703!16s%2Fg%2F11m607rdf4!19sChIJCRNAKgD1aS4RJ61mnbfXD3Y?authuser=0&hl=id&rclk=1
